n,core,state,class,tier,role,element,latches,full_codes,reading
443,M4mm0,medic-move,support,push,medic,moving,,2100,"Medic moving to a wounded or fallen ally, in a squad push as the moving element."
444,M4mmG,medic-move,support,push,medic,moving,sight-grace,2100,"Medic moving to a wounded or fallen ally, in a squad push as the moving element [sight-grace latched]."
445,T0m-0,medic-tend,support,calm,medic,none,,350,Medic channelling a heal or revive.
446,T0m-G,medic-tend,support,calm,medic,none,sight-grace,350,Medic channelling a heal or revive [sight-grace latched].
447,T1m-0,medic-tend,support,near-miss,medic,none,,350,"Medic channelling a heal or revive, after a round whistled past."
448,T1m-G,medic-tend,support,near-miss,medic,none,sight-grace,350,"Medic channelling a heal or revive, after a round whistled past [sight-grace latched]."
449,T2m-0,medic-tend,support,wary,medic,none,,700,"Medic channelling a heal or revive, on a fresh wary call-out."
450,T2m-G,medic-tend,support,wary,medic,none,sight-grace,700,"Medic channelling a heal or revive, on a fresh wary call-out [sight-grace latched]."
451,T3m-0,medic-tend,support,defensive,medic,none,,2800,"Medic channelling a heal or revive, under a defensive squad alert."
452,T3m-G,medic-tend,support,defensive,medic,none,sight-grace,2800,"Medic channelling a heal or revive, under a defensive squad alert [sight-grace latched]."
453,T4mb0,medic-tend,support,push,medic,base-of-fire,,2100,"Medic channelling a heal or revive, in a squad push as the base-of-fire element."
454,T4mbG,medic-tend,support,push,medic,base-of-fire,sight-grace,2100,"Medic channelling a heal or revive, in a squad push as the base-of-fire element [sight-grace latched]."
455,T4mm0,medic-tend,support,push,medic,moving,,2100,"Medic channelling a heal or revive, in a squad push as the moving element."
456,T4mmG,medic-tend,support,push,medic,moving,sight-grace,2100,"Medic channelling a heal or revive, in a squad push as the moving element [sight-grace latched]."
457,D0r-0,dead,terminal,calm,rifleman,none,,3,Rifleman down.
458,D0m-0,dead,terminal,calm,medic,none,,10,Medic down.
